Time,Name,PosX,PosY,VelX,VelY,Mass
1.500,Ast131,0.544328,-2.437384,0.157756,0.035586,9.254779e-10
1.500,Ast151,-1.699929,1.962978,-0.126392,-0.107973,8.644888e-10
1.500,Ast171,-0.368845,2.561379,-0.166323,-0.022550,2.037772e-10
1.500,Ast191,-0.653487,2.257921,-0.162711,-0.046905,8.763353e-10
2.000,Sun,0.000006,0.000000,0.000006,0.000001,1.000000e+00
2.000,Mercury,-0.214525,0.321064,-0.347022,-0.229790,1.659000e-07
2.000,Venus,0.480441,0.539534,-0.227006,0.202292,2.447000e-06
2.000,Earth,0.868461,0.495120,-0.127971,0.224517,3.003000e-06
2.000,Mars,1.466464,0.414308,-0.056891,0.201408,3.227000e-07
2.000,Jupiter,5.198035,0.227014,-0.004940,0.113152,9.545000e-04
2.000,Saturn,9.537515,0.167704,-0.001477,0.083634,2.856000e-04
2.000,Uranus,19.190634,0.118240,-0.000364,0.058972,4.365000e-05
2.000,Neptune,30.068851,0.094462,-0.000148,0.047113,5.127000e-05
2.000,Ast11,-2.414553,0.682725,-0.040261,-0.149850,3.925729e-10
2.000,Ast31,0.038357,-2.281696,0.174693,0.001812,5.427730e-10
2.000,Ast51,-1.106907,-2.255151,0.143940,-0.069770,3.076172e-10
2.000,Ast71,1.615531,2.052010,-0.125109,0.098256,5.296701e-10
2.000,Ast91,-2.673749,-1.014795,0.054294,-0.143372,1.961417e-10
2.000,Ast111,0.222267,2.947228,-0.149393,0.011170,1.006430e-09
2.000,Ast131,0.622898,-2.418276,0.156507,0.040790,9.254779e-10
2.000,Ast151,-1.762297,1.908055,-0.123093,-0.111661,8.644888e-10
2.000,Ast171,-0.451813,2.548861,-0.165533,-0.027469,2.037772e-10
2.000,Ast191,-0.734400,2.233008,-0.160928,-0.052676,8.763353e-10
2.500,Sun,0.000010,0.000001,0.000008,0.000001,1.000000e+00
2.500,Mercury,-0.349177,0.165819,-0.180253,-0.374655,1.659000e-07
2.500,Venus,0.357076,0.627922,-0.264265,0.150466,2.447000e-06
2.500,Earth,0.797339,0.602896,-0.155845,0.206169,3.003000e-06
2.500,Mars,1.434550,0.513947,-0.070576,0.197034,3.227000e-07
2.500,Jupiter,5.195254,0.283575,-0.006170,0.113092,9.545000e-04
2.500,Saturn,9.536684,0.209519,-0.001846,0.083627,2.856000e-04
2.500,Uranus,19.190429,0.147726,-0.000455,0.058971,4.365000e-05
2.500,Neptune,30.068767,0.118018,-0.000185,0.047113,5.127000e-05
2.500,Ast11,-2.433391,0.607448,-0.035137,-0.151215,3.925729e-10
2.500,Ast31,0.125657,-2.279172,0.174465,0.008215,5.427730e-10
2.500,Ast51,-1.034361,-2.288832,0.146196,-0.064986,3.076172e-10
2.500,Ast71,1.552223,2.100160,-0.128076,0.094366,5.296701e-10
2.500,Ast91,-2.645642,-1.086107,0.058089,-0.141874,1.961417e-10
2.500,Ast111,0.147506,2.951850,-0.149631,0.007357,1.006430e-09
2.500,Ast131,0.700800,-2.396576,0.155090,0.045951,9.254779e-10
2.500,Ast151,-1.822986,1.851316,-0.119680,-0.115240,8.644888e-10
2.500,Ast171,-0.534347,2.533891,-0.164584,-0.032356,2.037772e-10
2.500,Ast191,-0.814370,2.205228,-0.158938,-0.058378,8.763353e-10
3.000,Sun,0.000014,0.000001,0.000009,0.000001,1.000000e+00
3.000,Mercury,-0.385387,-0.036214,0.036640,-0.413565,1.659000e-07
3.000,Venus,0.217963,0.688613,-0.289879,0.091984,2.447000e-06
3.000,Earth,0.712916,0.700614,-0.181124,0.184377,3.003000e-06
3.000,Mars,1.395875,0.611163,-0.083928,0.191730,3.227000e-07
3.000,Jupiter,5.191858,0.340103,-0.007400,0.113018,9.545000e-04
3.000,Saturn,9.535668,0.251331,-0.002214,0.083618,2.856000e-04
3.000,Uranus,19.190178,0.177212,-0.000546,0.058971,4.365000e-05
3.000,Neptune,30.068665,0.141575,-0.000222,0.047113,5.127000e-05
3.000,Ast11,-2.449656,0.531530,-0.029967,-0.152421,3.925729e-10
3.000,Ast31,0.212780,-2.273452,0.173993,0.014600,5.427730e-10
3.000,Ast51,-0.960726,-2.320102,0.148299,-0.060131,3.076172e-10
3.000,Ast71,1.487461,2.146341,-0.130922,0.090386,5.296701e-10
3.000,Ast91,-2.615648,-1.156645,0.061843,-0.140275,1.961417e-10
3.000,Ast111,0.072651,2.954565,-0.149773,0.003539,1.006430e-09
3.000,Ast131,0.777953,-2.372307,0.153507,0.051065,9.254779e-10
3.000,Ast151,-1.881941,1.792816,-0.116157,-0.118706,8.644888e-10
3.000,Ast171,-0.616366,2.516486,-0.163479,-0.037206,2.037772e-10
3.000,Ast191,-0.893294,2.174614,-0.156745,-0.064005,8.763353e-10
3.500,Sun,0.000019,0.000002,0.000010,0.000001,1.000000e+00
3.500,Mercury,-0.313359,-0.228117,0.242404,-0.336401,1.659000e-07
3.500,Venus,0.069236,0.718924,-0.302707,0.029433,2.447000e-06
3.500,Earth,0.616599,0.786642,-0.203386,0.159504,3.003000e-06
3.500,Mars,1.350622,0.705498,-0.096886,0.185523,3.227000e-07
3.500,Jupiter,5.187848,0.396591,-0.008630,0.112931,9.545000e-04
3.500,Saturn,9.534468,0.293137,-0.002582,0.083608,2.856000e-04
3.500,Uranus,19.189883,0.206697,-0.000637,0.058970,4.365000e-05
3.500,Neptune,30.068545,0.165131,-0.000259,0.047113,5.127000e-05
3.500,Ast11,-2.463326,0.455048,-0.024757,-0.153468,3.925729e-10
3.500,Ast31,0.299606,-2.264545,0.173277,0.020958,5.427730e-10
3.500,Ast51,-0.886078,-2.348927,0.150248,-0.055209,3.076172e-10
3.500,Ast71,1.421307,2.190512,-0.133647,0.086322,5.296701e-10
3.500,Ast91,-2.583787,-1.226357,0.065553,-0.138575,1.961417e-10
3.500,Ast111,-0.002251,2.955370,-0.149818,-0.000282,1.006430e-09
3.500,Ast131,0.854271,-2.345495,0.151758,0.056126,9.254779e-10
3.500,Ast151,-1.939108,1.732613,-0.112529,-0.122055,8.644888e-10
3.500,Ast171,-0.697794,2.496668,-0.162219,-0.042013,2.037772e-10
3.500,Ast191,-0.971070,2.141209,-0.154351,-0.069547,8.763353e-10
